name,property_type,price,security_deposit,cleaning_fee,extra_people_fee,guests_included,minimum_nights,cancellation_policy,accommodates,bedrooms,beds,bed_type,bathrooms,country,number_of_reviews,review_scores_rating
Exterior room with double bed and terrace!!,Serviced apartment,31.0,1200.0,0.0,15.0,1.0,32,strict_14_with_grace_period,1,1.0,1.0,Real Bed,7.0,Spain,0,
Large 2 Bedroom Apartment close to Bondi Beach,Apartment,188.0,0.0,0.0,0.0,1.0,3,flexible,4,2.0,2.0,Real Bed,1.0,Australia,2,100.0
Thelonious Monk room at The Harlem Townhouse,Guesthouse,58.0,0.0,25.0,50.0,2.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,2.0,United States,62,95.0
Bed and breakfast close to Barra beach,Bed and breakfast,295.0,0.0,0.0,0.0,1.0,3,flexible,4,2.0,4.0,Real Bed,1.0,Brazil,0,
Private Room & King Size Bed (Eixample),Apartment,60.0,0.0,30.0,65.0,2.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Spain,20,95.0
Le Plateau Mont-Royal et ses très célèbres charmes,Apartment,110.0,0.0,0.0,0.0,1.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Canada,3,93.0
Hilo/Papa'ikou--Hale Melia,House,60.0,100.0,10.0,0.0,1.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,102,99.0
Sagrada Familia Butterfly,Apartment,108.0,300.0,85.0,20.0,4.0,2,flexible,7,3.0,4.0,Real Bed,2.0,Spain,8,85.0
Lovely room in design apartment in Plaza España,Apartment,60.0,0.0,20.0,10.0,2.0,1,flexible,1,1.0,1.0,Real Bed,1.0,Spain,4,100.0
Cozy Granny Flat,House,115.0,300.0,75.0,20.0,2.0,1,moderate,4,1.0,2.0,Real Bed,1.0,Australia,72,100.0
Single room: idealy for student or 1 traveler,Apartment,19.0,126.0,10.0,10.0,1.0,1,flexible,1,1.0,1.0,Real Bed,1.0,Canada,22,85.0
Modern refurbished flat in Gracia,Apartment,150.0,0.0,0.0,0.0,1.0,3,flexible,2,1.0,1.0,Real Bed,2.0,Spain,4,100.0
Charming place on the hippest street in NYC,Apartment,175.0,0.0,25.0,0.0,1.0,4,strict_14_with_grace_period,2,0.0,1.0,Real Bed,1.0,United States,32,98.0
Gorgeous Studio & Balcony Garden @ THE MOTHERSHIP,Apartment,150.0,200.0,75.0,20.0,1.0,14,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,10,96.0
"温暖的小房间,近香港科技大學｡close to HKUST",Townhouse,377.0,0.0,0.0,100.0,1.0,3,moderate,1,1.0,1.0,Real Bed,1.0,Hong Kong,12,96.0
Aluguel casa em Buzios,House,280.0,0.0,150.0,50.0,1.0,2,flexible,6,2.0,2.0,Real Bed,2.0,Brazil,0,
Relaxing Stylish Room near Train and Attractions,Apartment,103.0,100.0,0.0,20.0,1.0,5,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,61,96.0
"Dali IV, Friendly Rentals",Apartment,60.0,200.0,50.0,0.0,4.0,1,strict_14_with_grace_period,4,1.0,3.0,Real Bed,1.0,Spain,35,80.0
Quarto - ap com vista pro mar e Cristo,Apartment,149.0,0.0,100.0,0.0,1.0,1,flexible,2,2.0,2.0,Real Bed,1.5,Brazil,5,100.0
"近新Rockdale一房一厅,近火车站,有停车位,近机场,可接送机",Apartment,635.0,0.0,62.0,0.0,1.0,2,moderate,2,1.0,1.0,Real Bed,1.0,Australia,0,
Cozy home away from home,House,50.0,0.0,35.0,15.0,2.0,1,strict_14_with_grace_period,3,1.0,2.0,Real Bed,1.0,United States,62,96.0
Nice and Big Room Next to Trump Towers,Apartment,179.0,0.0,0.0,0.0,1.0,1,flexible,2,1.0,1.0,Real Bed,1.0,Turkey,0,
Clean and Comfortable,Apartment,75.0,0.0,25.0,20.0,1.0,1,moderate,2,0.0,1.0,Real Bed,1.5,United States,137,96.0
Spacious Private Bedroom super close to METRO&CITY,Apartment,27.0,0.0,11.0,20.0,1.0,9,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Canada,39,97.0
Private  suite,Guest suite,90.0,300.0,78.0,20.0,4.0,1,strict_14_with_grace_period,4,1.0,3.0,Real Bed,1.0,United States,22,85.0
Cedofeitadream,Apartment,90.0,100.0,20.0,15.0,4.0,2,flexible,5,2.0,4.0,Real Bed,1.0,Portugal,28,94.0
Cute Room in Upper West Side (FEMALES ONLY),Apartment,75.0,0.0,30.0,0.0,1.0,1,strict_14_with_grace_period,1,1.0,1.0,Real Bed,1.0,United States,19,91.0
Magnifique Appart Plateau Mont-Royal,Apartment,140.0,0.0,60.0,0.0,1.0,29,moderate,4,2.0,2.0,Real Bed,1.0,Canada,4,100.0
"Plaza Catalunya V, Friendly Rentals",Apartment,99.0,200.0,70.0,0.0,6.0,1,strict_14_with_grace_period,6,2.0,3.0,Real Bed,2.0,Spain,7,97.0
Cosy old charm 1Bdrm Home. Close to Transport,Townhouse,109.0,200.0,50.0,10.0,2.0,1,flexible,4,1.0,2.0,Real Bed,1.0,Australia,74,96.0
Double room with private WC and balcony São Bento,Guest suite,21.0,100.0,0.0,11.0,1.0,2,flexible,2,1.0,1.0,Real Bed,1.0,Portugal,94,90.0
Private room w/private bathroom near Central Park!,Apartment,95.0,250.0,30.0,50.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,2,100.0
"Central, Spacious, Safe, Seaside Flat",Apartment,200.0,0.0,0.0,0.0,1.0,4,flexible,4,2.0,2.0,Real Bed,1.0,Turkey,0,
Peaceful Retreat less than 10mn from ferry,Apartment,620.0,0.0,0.0,0.0,1.0,4,moderate,2,1.0,1.0,Real Bed,1.0,Hong Kong,7,100.0
Bright room in sagrada familia,Apartment,15.0,100.0,10.0,5.0,1.0,5,strict_14_with_grace_period,2,1.0,2.0,Real Bed,1.0,Spain,124,90.0
Sendme2Portugal @Apart. Eusébio - Estação S.Bento,Apartment,70.0,0.0,0.0,10.0,2.0,2,strict_14_with_grace_period,3,1.0,2.0,Real Bed,1.0,Portugal,3,87.0
Warm and Bright Studio in Hollywood Rd Sheung Wan,Apartment,699.0,0.0,150.0,150.0,2.0,4,strict_14_with_grace_period,2,0.0,1.0,Real Bed,1.0,Hong Kong,25,98.0
"Cozy flat,elevator, good location,man-mo temple",Apartment,699.0,0.0,0.0,0.0,1.0,5,flexible,2,1.0,1.0,Real Bed,1.0,Hong Kong,0,
La vraie vie de quartier à Montréal,House,75.0,500.0,50.0,20.0,2.0,5,moderate,2,0.0,2.0,Real Bed,1.0,Canada,20,95.0
Beautiful apartment AG905,Apartment,190.0,500.0,100.0,0.0,1.0,3,strict_14_with_grace_period,5,1.0,2.0,Real Bed,1.0,Brazil,24,93.0
"Whole apartment,w/balconies. Close to airport",Condominium,129.0,0.0,0.0,0.0,1.0,10,strict_14_with_grace_period,2,1.0,2.0,Real Bed,1.0,Australia,2,100.0
Emma's White House,Guest suite,70.0,0.0,30.0,19.0,1.0,1,flexible,3,1.0,2.0,Real Bed,1.0,Australia,25,96.0
"2427 - AB Plaça Catalunya 3-4 - Luxury 2-Bedroom Apartment, Steps from Plaça de Catalunya",Apartment,500.0,150.0,115.0,0.0,6.0,3,moderate,6,2.0,4.0,Real Bed,2.0,Spain,19,85.0
Rosita House,Serviced apartment,50.0,0.0,15.0,7.0,2.0,1,flexible,4,1.0,4.0,Real Bed,1.0,Portugal,86,94.0
Ocean View Hawaiian Bungalow on a private ranch,Bungalow,469.0,0.0,199.0,0.0,1.0,2,moderate,4,2.0,0.0,Real Bed,1.5,United States,2,90.0
2 Bedroom Ocean Front Condo in Honokowai - Sleeps 6 - Hale Mahina #B404,Condominium,269.0,0.0,293.0,0.0,6.0,5,super_strict_60,6,2.0,4.0,Real Bed,2.0,United States,1,100.0
Superb apartment on the water at Balmain,Apartment,181.0,0.0,0.0,0.0,1.0,21,flexible,2,1.0,1.0,Real Bed,2.0,Australia,0,
ALUGO APARTAMENTO POR MÍNIMO 3 DIAS,Apartment,172.0,0.0,0.0,0.0,1.0,3,flexible,3,2.0,3.0,Real Bed,1.0,Brazil,6,93.0
ATAŞEHİR VARYAP MERİDİAN 50. KAT MANZARALI SUITE,Serviced apartment,269.0,0.0,48.0,89.0,2.0,1,strict_14_with_grace_period,3,0.0,2.0,Real Bed,1.0,Turkey,45,95.0
AP No RIO2,Apartment,1999.0,0.0,0.0,0.0,1.0,1,flexible,4,1.0,2.0,Real Bed,2.0,Brazil,0,
Outstanding Glebe Apartment,Apartment,135.0,250.0,85.0,15.0,2.0,1,strict_14_with_grace_period,4,1.0,2.0,Real Bed,1.0,Australia,99,88.0
Apartment next to Las Ramblas and Paral·lel,Apartment,60.0,150.0,40.0,27.0,2.0,1,strict_14_with_grace_period,6,3.0,4.0,Real Bed,1.0,Spain,7,89.0
Quaint Polynesian Style Cabin on a Working Farm,Cabin,60.0,500.0,55.0,10.0,2.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,54,97.0
Two rooms with great view sagrada familia,Apartment,100.0,200.0,15.0,9.0,2.0,3,strict_14_with_grace_period,3,2.0,2.0,Real Bed,1.0,Spain,5,80.0
Algasol,Apartment,31.0,100.0,30.0,0.0,1.0,6,flexible,4,1.0,2.0,Real Bed,1.0,Portugal,5,72.0
Luminoso y renovado apart. en Arco del Triunfo,Apartment,70.0,2000.0,100.0,0.0,1.0,32,strict_14_with_grace_period,5,4.0,4.0,Real Bed,2.0,Spain,1,60.0
Brownstone with farmhouse charm,Apartment,90.0,0.0,45.0,25.0,2.0,4,strict_14_with_grace_period,3,1.0,1.0,Real Bed,1.0,United States,8,93.0
Cozy & convenient 3 bedroom w/ gym *Crown Heights*,Apartment,125.0,300.0,100.0,5.0,2.0,14,strict_14_with_grace_period,4,3.0,4.0,Real Bed,1.0,United States,2,100.0
Triple Room  - Ocean's 7 Hotel,Apartment,148.0,0.0,0.0,0.0,1.0,2,moderate,3,1.0,3.0,Real Bed,1.0,Turkey,1,
Cozy Studio in Wan Chai,Apartment,314.0,0.0,0.0,0.0,1.0,3,flexible,2,1.0,1.0,Real Bed,1.0,Hong Kong,0,
Enjoy your stay at CyrstalSilver house,House,40.0,0.0,18.0,0.0,1.0,1,flexible,2,1.0,1.0,Real Bed,2.0,Australia,29,97.0
St Hubert street luxury 2 bedroom dream Loft,House,199.0,300.0,80.0,50.0,4.0,1,strict_14_with_grace_period,4,2.0,2.0,Real Bed,1.0,Canada,140,92.0
Magic Escape Apartments 3 - Douro River Views,Apartment,85.0,200.0,20.0,15.0,4.0,2,moderate,6,2.0,4.0,Real Bed,2.0,Portugal,103,100.0
YOUR SUNNY DOUBLE BEDROOM IN THE CENTER,Bed and breakfast,45.0,0.0,25.0,10.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.5,Spain,44,89.0
"Aluguer Quarto ""2"" (Casa) Balasar, Póvoa de Varzim",House,20.0,0.0,8.0,0.0,1.0,1,moderate,2,1.0,1.0,Real Bed,1.0,Portugal,21,94.0
2294 - AB Aragó Apartment 2-C - Central Apartment with a Communal Terrace in Eixample,Apartment,500.0,150.0,110.0,0.0,6.0,2,moderate,6,2.0,5.0,Real Bed,2.0,Spain,17,81.0
BONDI BEACH APARTMENT - SEA VIEWS,Apartment,181.0,0.0,0.0,0.0,1.0,2,flexible,4,2.0,2.0,Real Bed,1.0,Australia,1,100.0
Cosy single room en el Raval,Apartment,20.0,0.0,9.0,0.0,1.0,3,flexible,1,1.0,1.0,Real Bed,1.0,Spain,100,96.0
Un studio full équipé,Apartment,46.0,200.0,10.0,25.0,1.0,2,flexible,2,0.0,1.0,Real Bed,1.0,Canada,0,
Free Parking! North Star Flats@Ribeira & Cellars 1,Apartment,45.0,0.0,25.0,10.0,2.0,2,strict_14_with_grace_period,4,1.0,4.0,Real Bed,1.0,Portugal,92,99.0
Luxurious Granny Flat. Bella Vista,House,161.0,150.0,20.0,20.0,1.0,1,moderate,6,2.0,3.0,Real Bed,1.0,Australia,151,95.0
Charme e conforto em Ipanema!,Apartment,134.0,800.0,180.0,0.0,1.0,2,strict_14_with_grace_period,2,2.0,2.0,Real Bed,1.0,Brazil,24,99.0
Nice apartment in Plaça Reial for long stay,Serviced apartment,60.0,500.0,60.0,20.0,1.0,32,strict_14_with_grace_period,3,2.0,2.0,Real Bed,1.0,Spain,0,
"Newtown: comfort, character and charm",House,65.0,0.0,0.0,0.0,1.0,1,strict_14_with_grace_period,1,1.0,1.0,Real Bed,1.0,Australia,3,100.0
Elegant quiet luxury home at Bondi,House,695.0,2000.0,180.0,0.0,1.0,5,strict_14_with_grace_period,7,4.0,4.0,Real Bed,3.0,Australia,5,96.0
Romantic Studio at the Wine Cellars,Apartment,45.0,0.0,0.0,0.0,1.0,2,moderate,2,0.0,1.0,Real Bed,1.0,Portugal,73,98.0
Bright and quiet bedroom - heart of Mile End,Apartment,44.0,0.0,22.0,12.0,1.0,1,moderate,2,1.0,1.0,Real Bed,1.0,Canada,92,99.0
Friendly & Conveniently Home at Bondi Junction,House,58.0,150.0,30.0,25.0,1.0,2,moderate,1,1.0,1.0,Real Bed,1.0,Australia,25,86.0
2295 - AB Aragó Apartment2-D - Sleek Apartment with a Communal Terrace in Eixample,Apartment,450.0,150.0,110.0,0.0,2.0,2,moderate,4,2.0,4.0,Real Bed,1.0,Spain,26,92.0
A cute house in 4Levent,Apartment,475.0,0.0,0.0,53.0,1.0,1,flexible,1,1.0,1.0,Real Bed,1.0,Turkey,0,
Quiet Bamboo Room next to the beach,Apartment,80.0,100.0,10.0,10.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,33,96.0
Convenient located one bedroom unit,Apartment,97.0,200.0,20.0,0.0,1.0,2,moderate,2,1.0,1.0,Real Bed,1.0,Australia,18,96.0
"Downtown Apart, Heart of the city!",Apartment,130.0,500.0,20.0,0.0,1.0,3,strict_14_with_grace_period,3,2.0,2.0,Real Bed,1.0,Canada,0,
STUDIO IN COPACABANA,Apartment,93.0,0.0,100.0,50.0,2.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Brazil,144,98.0
"Big, bright, and beautiful bedroom!",Apartment,100.0,0.0,0.0,0.0,1.0,1,flexible,1,1.0,1.0,Real Bed,1.0,United States,0,
Gorgeous Boutique Hotel Room in Taksim #8,Boutique hotel,179.0,0.0,36.0,0.0,1.0,2,flexible,2,1.0,1.0,Real Bed,1.0,Turkey,1,100.0
Manhattan Cozy Room by Columbia Uni,Apartment,53.0,0.0,50.0,25.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,62,88.0
New Furnishings! Very Private! Great Deal! GC 137,Condominium,200.0,300.0,250.0,20.0,4.0,4,super_strict_60,6,2.0,4.0,Real Bed,2.0,United States,12,95.0
Apartamento T4 Praia Azul,Apartment,105.0,0.0,0.0,15.0,4.0,2,moderate,6,4.0,6.0,Real Bed,2.0,Portugal,11,96.0
Copacabana Dream - A Tropical Vacation,Apartment,71.0,0.0,0.0,0.0,1.0,3,flexible,2,1.0,1.0,Real Bed,2.0,Brazil,18,100.0
Coração do Rio de Janeiro conforto,Apartment,119.0,0.0,0.0,0.0,1.0,1,moderate,4,1.0,1.0,Real Bed,1.0,Brazil,4,75.0
Affordable Guest Room,Boutique hotel,166.0,100.0,40.0,0.0,1.0,3,strict_14_with_grace_period,2,1.0,1.0,Real Bed,3.5,United States,1,100.0
Adorable Garden Gingerbread House,Cottage,175.0,200.0,125.0,35.0,3.0,3,strict_14_with_grace_period,2,0.0,1.0,Real Bed,1.0,United States,257,97.0
Rosemont :) Big Cozy Room,Condominium,36.0,0.0,0.0,20.0,1.0,2,moderate,2,1.0,1.0,Real Bed,1.0,Canada,24,99.0
Quiet space for one,House,47.0,0.0,16.0,22.0,1.0,3,flexible,1,1.0,1.0,Real Bed,1.0,Australia,6,100.0
地鉄上的3房2廳2卫浴住9人可月租2萬9千起,Apartment,1484.0,0.0,200.0,100.0,1.0,1,strict_14_with_grace_period,9,3.0,5.0,Real Bed,2.0,Hong Kong,27,78.0
V3旺角地鐵公交近在咫尺/購物首選/窗戶陽光充沛/精裝修乾淨舒適雙人房,Serviced apartment,353.0,0.0,70.0,0.0,1.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Hong Kong,64,92.0
Clean Private Room in East Village,Apartment,100.0,0.0,15.0,15.0,1.0,5,moderate,2,1.0,1.0,Real Bed,1.0,United States,8,85.0
Cozy Bedroom in Copacabana! R3,Apartment,131.0,500.0,80.0,40.0,1.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Brazil,69,97.0
Magical Hobbit Loft,Loft,68.0,0.0,25.0,0.0,1.0,3,moderate,1,1.0,1.0,Real Bed,1.0,Canada,23,96.0
Deluxe apartment in Harbiye 10 mins to taksim,Apartment,765.0,0.0,385.0,0.0,6.0,2,strict_14_with_grace_period,6,2.0,2.0,Real Bed,1.0,Turkey,0,
"Clean, Quiet, & Sunny Dancer's Apt!",Apartment,89.0,0.0,0.0,40.0,1.0,1,strict_14_with_grace_period,3,1.0,1.0,Real Bed,1.0,United States,48,97.0
Flat Duplex Ipanema All Service Luxo Com Serviços,Serviced apartment,601.0,2000.0,400.0,50.0,4.0,4,moderate,8,2.0,4.0,Real Bed,2.0,Brazil,2,90.0
SINGLE room (Furnished) KennedyTown (MTR ExitB),Apartment,196.0,0.0,0.0,0.0,1.0,10,strict_14_with_grace_period,1,1.0,1.0,Real Bed,1.5,Hong Kong,4,90.0
★ Amazing with terrace & wifi ★,Apartment,100.0,150.0,55.0,20.0,6.0,2,moderate,8,4.0,7.0,Real Bed,1.5,Portugal,80,94.0
Cute Tiny Room Family Home by LGA NO CLEANING FEE,Townhouse,48.0,300.0,0.0,200.0,1.0,1,strict_14_with_grace_period,1,1.0,1.0,Real Bed,2.0,United States,379,99.0
Super clean and cosy,Apartment,129.0,1000.0,80.0,25.0,4.0,3,strict_14_with_grace_period,4,2.0,2.0,Real Bed,2.0,Australia,28,99.0
bel appartement ensoleillé.,Apartment,50.0,0.0,0.0,8.0,1.0,4,flexible,4,2.0,2.0,Real Bed,1.0,Canada,2,100.0
"Room in just-refurbished, classic brownstone flat.",Apartment,75.0,0.0,15.0,0.0,1.0,1,flexible,1,1.0,1.0,Real Bed,1.0,United States,0,
Nice appartment in Ahuntsic Montreal,Apartment,81.0,300.0,35.0,0.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Canada,2,60.0
Bright uptown apartment in the heart of Harlem,Apartment,200.0,0.0,65.0,15.0,2.0,2,flexible,6,1.0,3.0,Real Bed,1.0,United States,56,99.0
Bright studio apartment close to Sydney Uni!,Apartment,125.0,300.0,98.0,0.0,1.0,2,strict_14_with_grace_period,2,0.0,0.0,Real Bed,1.0,Australia,51,92.0
Old School Hospitality,Guest suite,110.0,200.0,75.0,10.0,2.0,1,strict_14_with_grace_period,4,2.0,2.0,Real Bed,1.0,United States,61,99.0
Heart of the City-Cozy Room Private Sunny Balcony!,Apartment,14.0,100.0,25.0,15.0,1.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,2.0,Spain,47,91.0
"New 1BD Condo in Napili Ridge, Walk to Beach",Apartment,99.0,300.0,125.0,20.0,2.0,2,strict_14_with_grace_period,3,1.0,2.0,Real Bed,1.0,United States,38,95.0
CBD 2 Rooms Midlevel HKIsland,Apartment,761.0,1600.0,0.0,100.0,4.0,2,strict_14_with_grace_period,5,2.0,2.0,Real Bed,1.0,Hong Kong,11,89.0
"Sao Bento Studio 1 A, Porto",Apartment,55.0,0.0,15.0,8.0,2.0,2,flexible,4,0.0,1.0,Real Bed,1.0,Portugal,78,95.0
Self contained garden/artist studio,House,80.0,0.0,0.0,0.0,1.0,2,moderate,2,1.0,1.0,Real Bed,1.0,Australia,33,99.0
V4旺角地鐵公交近在咫尺/乾淨舒適/精裝修/購物首選/獨立衛浴/雙人房,Serviced apartment,338.0,0.0,70.0,0.0,1.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Hong Kong,65,85.0
New Renovated Private 1 bed/bath in Prime Location,Apartment,150.0,0.0,0.0,0.0,1.0,1,flexible,1,1.0,1.0,Real Bed,1.0,United States,3,100.0
Unit close to CBD available for Christmas & NYE!,Apartment,70.0,300.0,50.0,0.0,1.0,10,strict_14_with_grace_period,4,2.0,2.0,Real Bed,1.0,Australia,2,90.0
"Lovely Studio for two! twinbed, wifi, CWB MTR",Apartment,447.0,0.0,100.0,100.0,1.0,1,strict_14_with_grace_period,2,0.0,1.0,Real Bed,1.0,Hong Kong,88,85.0
The Porto Concierge - Green Building - 1E,Apartment,55.0,0.0,15.0,10.0,2.0,2,flexible,2,0.0,1.0,Real Bed,1.0,Portugal,23,79.0
Room  in Taksim/Pera very Close to İstiklal Str.,Apartment,53.0,0.0,50.0,40.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Turkey,14,96.0
Cozy Living Room in Mid-Levels,Apartment,314.0,0.0,0.0,0.0,1.0,2,flexible,2,1.0,1.0,Pull-out Sofa,1.0,Hong Kong,41,92.0
Cozy w/ Yard & Walking Distance to Waikiki - BROC,Apartment,110.0,0.0,125.0,0.0,4.0,1,strict_14_with_grace_period,4,1.0,2.0,Real Bed,1.0,United States,67,90.0
Opimo,House,21.0,0.0,23.0,0.0,1.0,3,strict_14_with_grace_period,2,1.0,2.0,Real Bed,1.0,Portugal,51,89.0
PRIVATE ROOM:Oasis of peace near Downtown Montreal,Apartment,40.0,0.0,0.0,15.0,2.0,2,flexible,3,1.0,2.0,Real Bed,1.0,Canada,15,100.0
Large and bright room near the beach - Poblenou,Apartment,52.0,0.0,0.0,7.0,1.0,2,moderate,2,1.0,1.0,Real Bed,1.0,Spain,22,98.0
Brand new flat! 2 BR + study (720 sqft),Apartment,699.0,0.0,300.0,80.0,3.0,12,strict_14_with_grace_period,4,2.0,2.0,Real Bed,2.0,Hong Kong,2,100.0
Papakea A108,Condominium,260.0,0.0,145.0,0.0,1.0,4,super_strict_60,4,1.0,1.0,Real Bed,1.0,United States,23,98.0
Peaceful hometown with perfect sea and forest view,Apartment,501.0,800.0,200.0,0.0,1.0,4,moderate,8,4.0,4.0,Real Bed,3.0,Turkey,15,98.0
Warehouse style studio,Guest suite,151.0,0.0,50.0,50.0,2.0,2,flexible,2,1.0,1.0,Real Bed,1.0,Australia,9,100.0
Nice big room near Downtown,Apartment,224.0,0.0,37.0,112.0,1.0,1,flexible,1,1.0,1.0,Real Bed,2.0,Brazil,3,93.0
Cozy room in Sagrada Familia,Apartment,15.0,100.0,10.0,5.0,1.0,5,strict_14_with_grace_period,2,1.0,2.0,Real Bed,1.0,Spain,99,94.0
Porto Trindade Cozy Flat,Apartment,64.0,0.0,0.0,0.0,1.0,2,moderate,6,2.0,4.0,Real Bed,1.5,Portugal,33,90.0
North Shore Beach Bungalow Just Steps to the Sand!,Bungalow,95.0,0.0,25.0,55.0,2.0,1,moderate,4,2.0,2.0,Real Bed,1.0,United States,123,95.0
"Kapalua Ridge 511-13. Spacious villa offering one-of-a kind ocean, coastal, island AND golf views!",Villa,380.0,0.0,257.0,0.0,2.0,5,super_strict_30,6,2.0,2.0,Real Bed,3.0,United States,5,100.0
Central Park North $140 - 1 BR with yard,Apartment,140.0,0.0,40.0,70.0,2.0,2,moderate,4,2.0,4.0,Real Bed,1.5,United States,45,98.0
"V.N.Gaia Center , 10min Porto Center",Apartment,45.0,0.0,0.0,10.0,1.0,1,moderate,2,1.0,2.0,Real Bed,1.0,Portugal,16,100.0
Cute Beachside Get Away,Apartment,139.0,0.0,60.0,0.0,1.0,4,flexible,4,2.0,2.0,Real Bed,1.0,Australia,1,100.0
Coney Island MCU Park Wi fi Cable Apt****,Apartment,110.0,0.0,0.0,0.0,3.0,3,strict_14_with_grace_period,3,1.0,1.0,Real Bed,1.0,United States,43,95.0
Entire house in the heart of the Plateau,House,189.0,0.0,25.0,40.0,3.0,2,flexible,6,3.0,3.0,Real Bed,1.5,Canada,9,95.0
Beautiful apartment in the center,Loft,100.0,150.0,40.0,20.0,2.0,3,strict_14_with_grace_period,3,1.0,2.0,Real Bed,1.0,Spain,257,98.0
Perfect Peaceful Hale,House,417.0,1000.0,470.0,25.0,8.0,3,moderate,8,4.0,5.0,Real Bed,3.5,United States,21,97.0
Kona Tropical Bungalow,Guest suite,68.0,0.0,50.0,10.0,1.0,4,moderate,2,1.0,1.0,Real Bed,1.0,United States,31,95.0
Home Sweet Home ❤️of Downtown BreakfastBuffet&Spa,Apartment,34.0,150.0,40.0,30.0,2.0,1,strict_14_with_grace_period,4,1.0,2.0,Real Bed,1.0,Canada,104,96.0
1 Bedroom for rent at Le Gleneagles - 983,Apartment,89.0,1000.0,87.0,0.0,2.0,180,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Canada,0,
Entire MASSIVE apt. for 4 ppl 1 Block from Subway,Apartment,197.0,500.0,25.0,20.0,2.0,3,strict_14_with_grace_period,4,1.0,2.0,Real Bed,1.0,United States,24,96.0
Private room,Apartment,78.0,100.0,40.0,170.0,1.0,1,flexible,2,1.0,1.0,Real Bed,1.0,Portugal,0,
旺角獨立房間,Guest suite,447.0,0.0,100.0,100.0,1.0,1,flexible,1,1.0,1.0,Real Bed,1.0,Hong Kong,0,
Ao Coliseu 3C ( central 2 bedroom apartment ),Apartment,75.0,0.0,20.0,10.0,4.0,2,moderate,6,2.0,2.0,Real Bed,1.0,Portugal,71,97.0
"Cozy, separated living room in Prospect Park, NYC",Apartment,45.0,0.0,10.0,15.0,1.0,2,moderate,2,0.0,1.0,Pull-out Sofa,1.0,United States,40,94.0
"""Gorgeous and artfully styled oasis ....""",Guest suite,300.0,500.0,0.0,0.0,2.0,1,moderate,2,1.0,1.0,Real Bed,1.0,Australia,3,100.0
Spacious Contemporary Home with Pool,House,395.0,500.0,120.0,0.0,1.0,14,strict_14_with_grace_period,6,3.0,3.0,Real Bed,3.0,Australia,1,100.0
【 1 min to MTR】Standard Double Bed Room尖沙咀標準大床房,Apartment,400.0,0.0,0.0,50.0,2.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Hong Kong,71,90.0
3 BDR APT AND ROOFTOP ONE TRAIN STOP TO MANHATAN,Apartment,315.0,0.0,30.0,40.0,6.0,2,flexible,6,3.0,3.0,Real Bed,1.0,United States,100,96.0
"Ocean Front Ecstasy! Homey w/Tile Floor, Full Kitchen, WiFi, Flat Screen–Paki Maui 409",Condominium,377.0,0.0,120.0,0.0,1.0,2,super_strict_30,4,1.0,1.0,Real Bed,1.0,United States,7,86.0
"Garden Room: A Feast for the Senses Big Island,Hi.",House,110.0,0.0,50.0,10.0,2.0,2,strict_14_with_grace_period,3,1.0,2.0,Real Bed,1.0,United States,25,96.0
Taşdelen kardiyum sakin oda,Apartment,69.0,0.0,0.0,0.0,1.0,1,flexible,1,1.0,1.0,Real Bed,1.0,Turkey,0,
M&S Apartments Porto,Apartment,49.0,0.0,15.0,10.0,2.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Portugal,13,78.0
Spacious Sunlit 1 BR Apartment in Heart of Harlem,Apartment,110.0,500.0,0.0,0.0,2.0,30,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,2,100.0
MODERNIST AND LUXURIOUS FLAT IN IDYLLIC LOCATION,Apartment,74.0,1000.0,0.0,0.0,2.0,32,strict_14_with_grace_period,4,2.0,2.0,Real Bed,1.0,Spain,0,
