name,property_type,price,security_deposit,cleaning_fee,extra_people_fee,guests_included,minimum_nights,cancellation_policy,accommodates,bedrooms,beds,bed_type,bathrooms,country,number_of_reviews,review_scores_rating
A bedroom far away from home,Apartment,45.0,0.0,0.0,10.0,1.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,239,95.0
Cozy house at Beyoğlu,Apartment,58.0,0.0,0.0,60.0,1.0,2,flexible,2,1.0,1.0,Pull-out Sofa,1.0,Turkey,27,99.0
Downtown Oporto Inn (room cleaning),Hostel,40.0,0.0,50.0,25.0,2.0,1,moderate,2,1.0,1.0,Real Bed,1.0,Portugal,0,
Large railroad style 3 bedroom apt in Manhattan!,Apartment,180.0,199.0,59.0,19.0,4.0,3,strict_14_with_grace_period,9,3.0,4.0,Real Bed,1.0,United States,22,95.0
Uygun nezih daire,Apartment,264.0,527.0,26.0,53.0,1.0,1,flexible,4,1.0,2.0,Real Bed,1.0,Turkey,0,
Cozy double bed room 東涌鄉村雅緻雙人房,Guesthouse,487.0,0.0,0.0,0.0,1.0,1,moderate,2,1.0,1.0,Real Bed,1.0,Hong Kong,162,96.0
Room Close to LGA and 35 mins to Times Square,Apartment,46.0,0.0,15.0,10.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,123,99.0
THE Place to See Sydney's FIREWORKS,House,250.0,400.0,150.0,0.0,1.0,2,moderate,2,1.0,1.0,Real Bed,2.5,Australia,0,
Private Room (2)  in Guest House at Coogee Beach,House,64.0,0.0,30.0,0.0,1.0,3,strict_14_with_grace_period,2,1.0,2.0,Real Bed,3.5,Australia,8,100.0
Twin Bed room+MTR Mongkok shopping&My,Apartment,400.0,0.0,0.0,0.0,1.0,1,strict_14_with_grace_period,3,1.0,2.0,Real Bed,1.0,Hong Kong,22,83.0
"Big, Bright & Convenient Sheung Wan",Apartment,966.0,0.0,118.0,0.0,1.0,2,moderate,2,0.0,1.0,Real Bed,1.0,Hong Kong,1,100.0
Resort-like living in Williamsburg,Apartment,220.0,0.0,25.0,0.0,1.0,5,strict_14_with_grace_period,4,2.0,2.0,Real Bed,1.0,United States,1,100.0
"Cozy Nest, heart of the Plateau",Apartment,34.0,0.0,25.0,10.0,1.0,2,strict_14_with_grace_period,1,1.0,1.0,Real Bed,1.0,Canada,62,98.0
"Kailua-Kona, Kona Coast II 2b condo",Apartment,135.0,200.0,0.0,0.0,1.0,7,strict_14_with_grace_period,6,2.0,3.0,Real Bed,2.0,United States,1,100.0
Your spot in Copacabana,Apartment,798.0,500.0,150.0,20.0,4.0,2,strict_14_with_grace_period,6,2.0,5.0,Real Bed,2.0,Brazil,8,100.0
~Ao Lele~ Flying Cloud,Treehouse,185.0,300.0,80.0,0.0,2.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.5,United States,103,99.0
Alugo Apart frente mar Barra Tijuca,Apartment,933.0,0.0,0.0,0.0,1.0,10,flexible,4,1.0,2.0,Real Bed,1.0,Brazil,0,
IPANEMA LUXURY PENTHOUSE with MAID,Apartment,858.0,1865.0,112.0,112.0,3.0,1,strict_14_with_grace_period,3,1.0,1.0,Real Bed,1.0,Brazil,29,99.0
"Amazing and Big Apt, Ipanema Beach.",Apartment,1999.0,0.0,0.0,0.0,1.0,1,flexible,6,3.0,4.0,Real Bed,3.0,Brazil,0,
UWS Brownstone Near Central Park,Apartment,212.0,275.0,120.0,0.0,1.0,21,moderate,3,1.0,3.0,Real Bed,1.0,United States,45,93.0
Cozy Art Top Floor Apt in PRIME Williamsburg!,Apartment,175.0,300.0,90.0,300.0,2.0,2,strict_14_with_grace_period,2,1.0,2.0,Real Bed,1.0,United States,117,96.0
Makaha Valley Paradise with OceanView,Condominium,95.0,0.0,130.0,0.0,1.0,3,moderate,4,1.0,2.0,Pull-out Sofa,1.0,United States,32,98.0
FloresRooms 3T,Apartment,31.0,200.0,10.0,0.0,1.0,2,moderate,2,0.0,1.0,Real Bed,1.0,Portugal,225,96.0
Small Room w Bathroom Flamengo Rio de Janeiro,Apartment,71.0,0.0,20.0,0.0,1.0,4,moderate,1,1.0,1.0,Real Bed,1.0,Brazil,1,80.0
Private OceanFront - Bathtub Beach. Spacious House,House,795.0,1000.0,345.0,0.0,1.0,3,strict_14_with_grace_period,14,4.0,10.0,Real Bed,4.0,United States,32,94.0
,Apartment,105.0,0.0,0.0,0.0,1.0,1,flexible,4,1.0,2.0,Real Bed,1.0,Turkey,0,
Apartamento Mobiliado - Lgo do Machado,Apartment,149.0,1000.0,60.0,40.0,2.0,30,strict_14_with_grace_period,4,1.0,2.0,Real Bed,1.0,Brazil,0,
Pousada das Colonias,Bed and breakfast,138.0,0.0,0.0,70.0,2.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Brazil,9,98.0
Best location 1BR Apt in HK - Shops & Sights,Apartment,997.0,1000.0,380.0,160.0,2.0,1,strict_14_with_grace_period,4,1.0,2.0,Real Bed,1.0,Hong Kong,145,94.0
Banyan Bungalow,Bungalow,100.0,250.0,80.0,20.0,1.0,2,flexible,2,0.0,1.0,Real Bed,1.0,United States,99,96.0
BBC OPORTO 4X2,Apartment,100.0,0.0,0.0,0.0,1.0,3,flexible,8,4.0,8.0,Real Bed,2.0,Portugal,71,88.0
Quarto Taquara - Jacarepaguá,Apartment,101.0,128.0,120.0,20.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Brazil,1,100.0
luxury apartment in istanbul taxsim,Apartment,269.0,0.0,60.0,42.0,3.0,2,strict_14_with_grace_period,4,1.0,3.0,Real Bed,1.0,Turkey,135,91.0
Suíte em local tranquilo e seguro,House,101.0,400.0,100.0,50.0,1.0,1,moderate,1,1.0,1.0,Real Bed,1.0,Brazil,0,
A large sunny bedroom,Apartment,35.0,0.0,0.0,0.0,1.0,3,moderate,1,1.0,1.0,Real Bed,1.0,United States,2,90.0
Room For Erasmus,Apartment,37.0,0.0,0.0,0.0,1.0,1,flexible,2,2.0,2.0,Real Bed,1.0,Turkey,1,
Homely Room in 5-Star New Condo@MTR,Condominium,479.0,0.0,0.0,150.0,1.0,28,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Hong Kong,179,94.0
Bondi Beach Dreaming 3-Bed House,House,399.0,1000.0,185.0,35.0,6.0,2,strict_14_with_grace_period,8,3.0,6.0,Real Bed,2.0,Australia,139,96.0
Sala e quarto em copacabana com cozinha americana,Apartment,298.0,0.0,0.0,0.0,1.0,4,flexible,3,1.0,1.0,Real Bed,1.0,Brazil,0,
Where Castles and Art meet the Sea,Apartment,80.0,500.0,30.0,0.0,1.0,5,moderate,4,1.0,2.0,Real Bed,1.0,Portugal,13,95.0
Beautiful flat with services,Apartment,351.0,500.0,120.0,500.0,4.0,3,strict_14_with_grace_period,4,2.0,2.0,Real Bed,2.0,Brazil,32,95.0
March 2019 availability! Oceanview on Sugar Beach!,Condominium,229.0,0.0,95.0,0.0,1.0,4,strict_14_with_grace_period,4,1.0,3.0,Real Bed,1.0,United States,19,94.0
Aluguel Temporada Casa São Conrado,House,2499.0,0.0,0.0,0.0,1.0,5,flexible,11,4.0,8.0,Real Bed,7.0,Brazil,0,
(1) Beach Guest House - Go Make A Trip,Bed and breakfast,112.0,0.0,0.0,0.0,2.0,1,flexible,2,1.0,1.0,Real Bed,1.0,Brazil,11,98.0
"Studio convenient to CBD, beaches, street parking.",Guest suite,45.0,136.0,50.0,25.0,2.0,2,moderate,5,1.0,4.0,Real Bed,1.0,Australia,104,96.0
Greenwich Fun and Luxury,House,999.0,0.0,0.0,0.0,1.0,5,flexible,6,4.0,4.0,Real Bed,4.0,Australia,0,
The Garden Studio,Guesthouse,129.0,0.0,60.0,0.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Australia,146,97.0
Whole Apt. in East Williamsburg,Apartment,125.0,200.0,80.0,30.0,2.0,4,moderate,4,1.0,1.0,Real Bed,1.0,United States,126,96.0
位於深水埗地鐵站的溫馨公寓,Apartment,353.0,0.0,50.0,50.0,1.0,1,strict_14_with_grace_period,4,1.0,2.0,Real Bed,1.0,Hong Kong,18,71.0
Park Guell apartment with terrace,Apartment,85.0,100.0,40.0,0.0,6.0,2,strict_14_with_grace_period,6,2.0,3.0,Real Bed,1.0,Spain,51,71.0
Rented Room,Apartment,112.0,0.0,0.0,0.0,1.0,1,flexible,1,1.0,1.0,Real Bed,1.0,Brazil,0,
Heroísmo IV,Apartment,29.0,0.0,10.0,0.0,2.0,1,moderate,2,0.0,1.0,Real Bed,1.0,Portugal,31,89.0
Sun filled comfortable apartment,Apartment,85.0,0.0,15.0,0.0,1.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Australia,2,100.0
Jubilee By The Sea (Ocean Views),House,325.0,500.0,250.0,25.0,8.0,2,strict_14_with_grace_period,11,4.0,6.0,Real Bed,2.0,United States,45,98.0
Cozy bedroom Sagrada Familia,Apartment,20.0,0.0,20.0,0.0,1.0,2,flexible,2,1.0,2.0,Real Bed,1.0,Spain,1,100.0
Cozy House in Ortaköy,Apartment,100.0,0.0,100.0,0.0,1.0,1,flexible,2,1.0,2.0,Real Bed,1.0,Turkey,0,
Luxury 1-Bdrm in Downtown Brooklyn,Apartment,144.0,250.0,150.0,0.0,1.0,3,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,1,
Tropical Jungle Oasis,Condominium,125.0,250.0,99.0,0.0,1.0,2,moderate,4,2.0,3.0,Real Bed,1.5,United States,65,96.0
Cheerful new renovated central apt,Apartment,264.0,0.0,0.0,36.0,4.0,3,moderate,8,3.0,4.0,Real Bed,1.0,Turkey,77,94.0
Condomínio Praia Barra da Tijuca,Condominium,351.0,0.0,0.0,0.0,1.0,2,strict_14_with_grace_period,6,2.0,5.0,Real Bed,2.0,Brazil,18,95.0
Spacious and well located apartment,Apartment,60.0,200.0,25.0,8.0,3.0,3,strict_14_with_grace_period,6,2.0,3.0,Real Bed,1.0,Portugal,20,89.0
Colonial Mansion in Santa Teresa,House,1999.0,0.0,0.0,0.0,1.0,1,flexible,8,6.0,6.0,Real Bed,5.0,Brazil,0,
Apt Quarto e Sala amplo Laranjeiras,Apartment,701.0,0.0,100.0,0.0,1.0,5,flexible,4,1.0,4.0,Real Bed,1.0,Brazil,0,
"Kadiköy, Moda, close to transports",Apartment,137.0,0.0,0.0,0.0,1.0,1,flexible,2,1.0,1.0,Real Bed,1.0,Turkey,0,
Lovely ap at Leblon beach,Apartment,298.0,1000.0,160.0,0.0,1.0,3,strict_14_with_grace_period,5,3.0,3.0,Real Bed,3.0,Brazil,1,100.0
Grand apartment Sagrada Familia,Apartment,169.0,200.0,60.0,0.0,10.0,2,strict_14_with_grace_period,8,4.0,6.0,Real Bed,2.0,Spain,77,90.0
Panoramic Ocean View Studio in  Quiet Setting,Guesthouse,120.0,200.0,100.0,15.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,114,95.0
Cozy apartment 3 mins TAIWAI Subway,Apartment,801.0,0.0,0.0,0.0,1.0,7,flexible,5,2.0,2.0,Real Bed,2.0,Hong Kong,0,
"Cozy, dreamy Mile End apartment",Apartment,30.0,0.0,20.0,15.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Canada,0,
Jardim Botânico Gourmet 2 bdroom,Apartment,395.0,1000.0,300.0,35.0,4.0,2,strict_14_with_grace_period,6,2.0,5.0,Real Bed,2.0,Brazil,9,91.0
CASA PARA AS OLIMPIADAS 2016,House,3726.0,3730.0,0.0,0.0,1.0,1,strict_14_with_grace_period,10,4.0,6.0,Real Bed,6.0,Brazil,0,
"Charming Apartment,perfect Location",Apartment,351.0,800.0,140.0,60.0,2.0,2,super_strict_30,4,1.0,2.0,Real Bed,1.0,Brazil,110,95.0
Ribeira Smart Flat,Apartment,80.0,700.0,20.0,10.0,2.0,2,strict_14_with_grace_period,6,3.0,3.0,Real Bed,1.0,Portugal,132,92.0
PORTO DOWNTOWN FLATS-RIBEIRA STUDIO,Apartment,55.0,150.0,25.0,7.0,2.0,2,strict_14_with_grace_period,4,0.0,2.0,Real Bed,1.0,Portugal,62,97.0
Great location in Barcelona,Apartment,31.0,100.0,7.0,0.0,2.0,200,strict_14_with_grace_period,5,4.0,4.0,Real Bed,1.0,Spain,2,60.0
Beautiful 1 Bedroom Apartment,Apartment,997.0,1000.0,500.0,0.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Hong Kong,10,95.0
GREAT Apartment at Barra da Tijuca,Apartment,933.0,0.0,298.0,19.0,4.0,4,moderate,6,3.0,7.0,Real Bed,4.0,Brazil,13,100.0
"Asia House, Garden Room, Princevile",Guest suite,139.0,200.0,85.0,35.0,2.0,3,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,167,93.0
Serene luxury in Harlem,Apartment,80.0,100.0,50.0,0.0,1.0,3,moderate,1,1.0,1.0,Real Bed,1.0,United States,10,100.0
Nani La 'Ao (A Beautiful Day) Upstairs Suite,House,72.0,100.0,12.0,10.0,2.0,3,moderate,2,1.0,1.0,Real Bed,1.0,United States,18,96.0
Relaxing and Roomy in Crown Heights,Apartment,50.0,0.0,50.0,10.0,1.0,2,moderate,2,1.0,1.0,Real Bed,1.0,United States,46,96.0
Charming Spacious Park Slope Studio,Guest suite,135.0,200.0,50.0,25.0,2.0,3,moderate,3,0.0,0.0,Real Bed,1.0,United States,115,98.0
Nice Cosy Room In Taksim,Apartment,105.0,0.0,60.0,60.0,1.0,3,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Turkey,31,96.0
302 Kanai A Nalu Ocean front/view,Condominium,400.0,200.0,270.0,20.0,4.0,7,super_strict_60,6,2.0,3.0,Real Bed,2.0,United States,7,97.0
DOUBLE ROOM for 1 or 2 ppl,Apartment,15.0,0.0,0.0,0.0,1.0,1,flexible,2,1.0,1.0,Real Bed,1.0,Spain,0,
well lit East Williamsburg apt.,Apartment,60.0,0.0,0.0,0.0,1.0,1,flexible,2,1.0,1.0,Real Bed,1.5,United States,0,
Designer's Historical Apartment,Apartment,385.0,0.0,298.0,0.0,2.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Turkey,17,97.0
Renovated Classic Design Studio with Sun Room,Apartment,58.0,300.0,40.0,20.0,2.0,3,strict_14_with_grace_period,3,1.0,1.0,Real Bed,1.0,Portugal,32,94.0
BALAT,House,685.0,0.0,0.0,0.0,1.0,1,flexible,3,1.0,1.0,Real Bed,1.0,Turkey,0,
Beautiful Ensuite Room -Easy access to city,House,75.0,0.0,50.0,0.0,1.0,30,moderate,2,1.0,1.0,Real Bed,2.5,Australia,2,
"Nişantaşı, safe, quality area.Very close to metro.",Apartment,417.0,0.0,237.0,0.0,1.0,5,strict_14_with_grace_period,4,1.0,2.0,Real Bed,1.0,Turkey,6,83.0
Private Entrance - Backyard Summer Dining - Enjoy,Townhouse,110.0,400.0,40.0,15.0,2.0,7,strict_14_with_grace_period,2,1.0,2.0,Real Bed,1.0,United States,184,96.0
"Waterfront, Enchanted Lake Home 2/1",House,189.0,250.0,150.0,25.0,2.0,4,strict_14_with_grace_period,8,2.0,4.0,Real Bed,2.0,United States,44,87.0
,Apartment,506.0,0.0,0.0,0.0,1.0,1,flexible,2,1.0,1.0,Real Bed,1.0,Turkey,0,
"Mongkok Luxury Studio, New Reno *4A",Apartment,298.0,3900.0,240.0,0.0,1.0,60,strict_14_with_grace_period,1,0.0,1.0,Real Bed,1.0,Hong Kong,1,100.0
Huge bedroom in luxurious apartment,Apartment,40.0,0.0,0.0,0.0,1.0,4,flexible,3,1.0,1.0,Real Bed,1.0,United States,2,100.0
cozy house and garden in the heart of Montréal,Apartment,64.0,0.0,25.0,0.0,2.0,2,flexible,4,2.0,2.0,Real Bed,1.0,Canada,5,100.0
Room w private toilet 3 min to MTR!,Condominium,447.0,776.0,300.0,0.0,2.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,Hong Kong,72,97.0
Cozy Hell's Kitchen Apt,Apartment,125.0,1000.0,50.0,0.0,1.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,60,95.0
Large Duplex in Midtown East with backyard!,Apartment,350.0,500.0,155.0,0.0,5.0,2,strict_14_with_grace_period,7,2.0,4.0,Real Bed,2.0,United States,112,92.0
Makai Hideaway,House,169.0,200.0,200.0,25.0,4.0,4,strict_14_with_grace_period,14,4.0,8.0,Real Bed,3.0,United States,119,97.0
East Village Sanctuary,Apartment,200.0,0.0,125.0,0.0,1.0,30,flexible,2,1.0,1.0,Real Bed,1.0,United States,19,100.0
Alcam Colón 42 Apartment,Apartment,91.0,500.0,0.0,0.0,1.0,32,strict_14_with_grace_period,4,2.0,3.0,Real Bed,2.0,Spain,1,80.0
"Home, Sweet, Harlem. Welcome!",Apartment,110.0,0.0,10.0,25.0,1.0,1,moderate,3,1.0,1.0,Real Bed,1.0,United States,199,90.0
City View Apartment,Serviced apartment,211.0,596.0,0.0,89.0,1.0,1,moderate,3,1.0,2.0,Real Bed,1.0,Turkey,1,80.0
Comfort Room in Istanbul,Apartment,53.0,0.0,26.0,0.0,1.0,1,flexible,1,1.0,1.0,Real Bed,1.0,Turkey,0,
Quarto espaçoso e arejado no Rio.,Hostel,187.0,0.0,0.0,0.0,1.0,3,flexible,2,1.0,1.0,Real Bed,1.0,Brazil,1,
Artist Garden Duplex Ft. Greene - 2.5 Bedroom,Apartment,250.0,500.0,200.0,50.0,4.0,2,strict_14_with_grace_period,8,3.0,3.0,Real Bed,2.0,United States,89,98.0
Private Cozy Bedroom in Brooklyn,Apartment,47.0,100.0,20.0,15.0,1.0,2,moderate,2,1.0,1.0,Real Bed,1.0,United States,241,93.0
Quarto de Casal em Ipanema,Apartment,149.0,330.0,80.0,80.0,1.0,2,strict_14_with_grace_period,2,1.0,1.0,Real Bed,2.0,Brazil,2,100.0
The Executive  Posh Room,House,90.0,150.0,25.0,40.0,1.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,21,91.0
Sunny Bedroom in Downtown Montreal,Apartment,21.0,0.0,0.0,0.0,1.0,14,flexible,2,1.0,1.0,Real Bed,1.0,Canada,1,80.0
Newly and comfortable apt,Condominium,463.0,800.0,120.0,80.0,2.0,1,strict_14_with_grace_period,2,0.0,1.0,Real Bed,1.0,Hong Kong,206,94.0
listing_id: (Phone number hidden by Airbnb) THE BEST LOCATION IN LEBLON,Apartment,518.0,0.0,300.0,50.0,4.0,2,moderate,6,3.0,4.0,Real Bed,3.0,Brazil,11,96.0
Loue 1 chambre privée,Apartment,60.0,0.0,0.0,0.0,1.0,1,flexible,1,1.0,1.0,Real Bed,2.5,Canada,0,
Apart-hotel w/ Wonderful Ocean View - 2 bedrooms!!,Apartment,451.0,500.0,200.0,100.0,4.0,3,moderate,5,2.0,3.0,Real Bed,2.0,Brazil,34,95.0
O'Porto Studio | Historic Center,Loft,40.0,0.0,0.0,10.0,2.0,2,strict_14_with_grace_period,4,1.0,1.0,Real Bed,1.0,Portugal,380,92.0
Trendy apartment in BCN centre,Apartment,89.0,0.0,30.0,10.0,2.0,2,moderate,4,2.0,2.0,Real Bed,1.0,Spain,104,93.0
Hospede-se com acesso fácil.,Condominium,134.0,0.0,93.0,0.0,1.0,5,flexible,4,2.0,3.0,Real Bed,1.0,Brazil,0,
Aquilla House - Ocean Views Newport,House,500.0,1000.0,150.0,0.0,1.0,7,strict_14_with_grace_period,8,4.0,5.0,Real Bed,3.0,Australia,3,93.0
causeway bay MTR+Tidy Quad room&YT,Apartment,597.0,0.0,0.0,0.0,1.0,1,strict_14_with_grace_period,4,1.0,3.0,Real Bed,1.0,Hong Kong,15,76.0
SPACIOUS RAMBLA CATALUÑA,Apartment,130.0,0.0,30.0,0.0,1.0,32,strict_14_with_grace_period,5,4.0,5.0,Real Bed,2.0,Spain,1,80.0
Lovely room in Caueway Bay!,Apartment,353.0,0.0,0.0,0.0,1.0,1,flexible,2,1.0,1.0,Real Bed,1.0,Hong Kong,0,
Executive Luxury design Apartment,Apartment,461.0,0.0,0.0,100.0,2.0,2,strict_14_with_grace_period,3,2.0,2.0,Real Bed,1.0,Australia,35,99.0
1 sunny bedroom in large St-Henri appartment,Apartment,70.0,150.0,0.0,0.0,1.0,3,strict_14_with_grace_period,2,1.0,2.0,Real Bed,1.0,Canada,2,100.0
aOceanside Hawaii Apartment Studio Kitchen Parking,Apartment,99.0,0.0,50.0,25.0,2.0,1,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,137,93.0
Convenient & Cozy Private Rm@Jordan,Apartment,424.0,0.0,50.0,0.0,1.0,2,strict_14_with_grace_period,1,1.0,1.0,Real Bed,1.0,Hong Kong,211,97.0
Cozy Chinatown studio apartment,Apartment,100.0,100.0,0.0,20.0,1.0,4,strict_14_with_grace_period,2,0.0,1.0,Real Bed,1.0,United States,26,97.0
Pineapple Paradise,Apartment,135.0,250.0,150.0,75.0,3.0,2,moderate,3,0.0,1.0,Real Bed,1.0,United States,87,96.0
Cottage on Kona Coffee Farm,Cabin,65.0,0.0,0.0,0.0,1.0,5,strict_14_with_grace_period,2,1.0,1.0,Real Bed,1.0,United States,1,
Harbourside Apartment - Water Views,Apartment,161.0,150.0,70.0,50.0,2.0,2,strict_14_with_grace_period,3,1.0,2.0,Real Bed,1.0,Australia,41,94.0
